time,src,dst,protocol,length
1784852068.9613402,172.64.155.209,192.168.8.138,6,54
1784852068.9623413,192.168.8.138,172.64.155.209,6,1454
1784852068.9633422,192.168.8.138,172.64.155.209,6,76
1784852068.9633422,172.64.155.209,192.168.8.138,6,54
1784852068.9643447,172.64.155.209,192.168.8.138,6,54
1784852068.9653757,172.64.155.209,192.168.8.138,6,54
1784852068.9653757,172.64.155.209,192.168.8.138,6,54
1784852068.9663763,172.64.155.209,192.168.8.138,6,54
1784852068.9674745,172.64.155.209,192.168.8.138,6,54
1784852068.9679894,172.64.155.209,192.168.8.138,6,54
1784852068.9690933,172.64.155.209,192.168.8.138,6,54
1784852068.9701848,172.64.155.209,192.168.8.138,6,54
1784852068.9701848,172.64.155.209,192.168.8.138,6,54
1784852068.9711795,172.64.155.209,192.168.8.138,6,54
1784852068.9711795,172.64.155.209,192.168.8.138,6,54
1784852068.9721801,172.64.155.209,192.168.8.138,6,54
1784852068.97318,172.64.155.209,192.168.8.138,6,54
1784852068.9737406,172.64.155.209,192.168.8.138,6,54
1784852068.9737406,172.64.155.209,192.168.8.138,6,54
1784852068.9747424,172.64.155.209,192.168.8.138,6,54
1784852068.9757571,172.64.155.209,192.168.8.138,6,54
1784852068.9762688,172.64.155.209,192.168.8.138,6,54
1784852068.9772794,172.64.155.209,192.168.8.138,6,54
1784852068.9772794,172.64.155.209,192.168.8.138,6,54
1784852068.9782782,172.64.155.209,192.168.8.138,6,54
1784852068.9782782,172.64.155.209,192.168.8.138,6,54
1784852068.9792786,172.64.155.209,192.168.8.138,6,54
1784852068.9792786,172.64.155.209,192.168.8.138,6,54
1784852068.9802775,172.64.155.209,192.168.8.138,6,54
1784852068.9812858,172.64.155.209,192.168.8.138,6,54
1784852069.003849,172.64.155.209,192.168.8.138,6,54
1784852069.0048406,172.64.155.209,192.168.8.138,6,54
1784852069.0048406,172.64.155.209,192.168.8.138,6,54
1784852069.0058439,172.64.155.209,192.168.8.138,6,54
1784852069.0068424,172.64.155.209,192.168.8.138,6,54
1784852069.0068424,172.64.155.209,192.168.8.138,6,54
1784852069.0078442,172.64.155.209,192.168.8.138,6,54
1784852069.008845,172.64.155.209,192.168.8.138,6,54
1784852069.0298092,172.64.155.209,192.168.8.138,6,1454
1784852069.0308132,172.64.155.209,192.168.8.138,6,617
1784852069.0308132,172.64.155.209,192.168.8.138,6,488
1784852069.0318425,172.64.155.209,192.168.8.138,6,85
1784852069.03285,172.64.155.209,192.168.8.138,6,1454
1784852069.0338492,172.64.155.209,192.168.8.138,6,648
1784852069.034853,192.168.8.138,172.64.155.209,6,54
1784852069.039681,172.64.155.209,192.168.8.138,6,596
1784852069.049669,172.64.155.209,192.168.8.138,6,489
1784852069.0511854,172.64.155.209,192.168.8.138,6,158
1784852069.0511854,192.168.8.138,172.64.155.209,6,54
1784852069.0525124,172.64.155.209,192.168.8.138,6,85
1784852069.053532,192.168.8.138,172.64.155.209,6,54
1784852069.0684917,172.64.155.209,192.168.8.138,6,1454
1784852069.0694842,172.64.155.209,192.168.8.138,6,570
1784852069.0694842,172.64.155.209,192.168.8.138,6,218
1784852069.0704882,172.64.155.209,192.168.8.138,6,85
1784852069.0714858,192.168.8.138,172.64.155.209,6,54
1784852069.0776403,192.168.8.138,172.64.155.209,6,1454
1784852069.0791965,192.168.8.138,172.64.155.209,6,1454
1784852069.0791965,192.168.8.138,172.64.155.209,6,1454
1784852069.0807447,192.168.8.138,172.64.155.209,6,1454
1784852069.0807447,192.168.8.138,172.64.155.209,6,1454
1784852069.082295,192.168.8.138,172.64.155.209,6,1454
1784852069.082295,192.168.8.138,172.64.155.209,6,799
1784852069.0833077,192.168.8.138,172.64.155.209,6,111
1784852069.0952222,172.64.155.209,192.168.8.138,6,1454
1784852069.0962358,172.64.155.209,192.168.8.138,6,644
1784852069.0962358,192.168.8.138,172.64.155.209,6,54
1784852069.0972397,172.64.155.209,192.168.8.138,6,279
1784852069.0972397,172.64.155.209,192.168.8.138,6,85
1784852069.0972397,192.168.8.138,172.64.155.209,6,54
1784852069.0987163,172.64.155.209,192.168.8.138,6,1454
1784852069.0987163,192.168.8.138,172.64.155.209,6,54
1784852069.0997286,172.64.155.209,192.168.8.138,6,616
1784852069.0997286,192.168.8.138,172.64.155.209,6,54
1784852069.100979,172.64.155.209,192.168.8.138,6,111
1784852069.1019933,172.64.155.209,192.168.8.138,6,85
